path,en,it
root/2/END_SCENE/3/1/b/3,END SCENE,FINE SCENA
root/2/tower_of_steel_content/3/1/b/1,I say goodbye to Zayna.,Saluto Zayna.
root/2/tower_of_steel_content/10/quest_start_regular/0/7,"<<""Ahoy there!"">>","<<""Ehilà!"">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/9,"The loud, bellowing greeting nearly makes me jump out of my skin, but as I turn to see who’s there, I find only darkness...","Il saluto sonoro e tonante quasi mi fa saltare fuori dalla pelle, ma quando mi giro per vedere chi è, trovo solo oscurità..."
root/2/tower_of_steel_content/10/quest_start_regular/0/11,"<<""Up here!"">>","<<""Quassù!"">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/15,"Now I spot a waving figure, cast in shadow.","Ora scorgo una figura che saluta, avvolta nell'ombra."
root/2/tower_of_steel_content/10/quest_start_regular/0/17,"<<""Impressive, isn’t it, Glider? Are you jealous?"">>","<<""Notevole, vero, Glider? Sei gelosa?"">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/21,Of what?,Di cosa?
root/2/tower_of_steel_content/10/quest_start_regular/0/27,Very!,Molto!
root/2/tower_of_steel_content/10/quest_start_regular/0/33,Not at all!,Per niente!
root/2/tower_of_steel_content/10/quest_start_regular/0/37/c-0/3,"<<""Me! Being up here! And having the <i>skill</i> to do it!"">>","<<""Di me! Di essere quassù! E di avere l'<i>abilità</i> per farlo!"">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/37/c-1/3,"<<""Ha! I knew it."">>","<<""Ah! Lo sapevo."">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/37/c-2/3,"<<""Liar!"">>","<<""Bugiarda!"">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/1,"<<""Bet a small fry like you couldn’t make it up here."">>","<<""Scommetto che una piccoletta come te non riuscirebbe ad arrivare quassù."">>"
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/4,"It’s an oddly combative energy to bring to a conversation with a stranger, I’ll give them that. Yet something about it finds a home in my brain.","È un'energia stranamente combattiva da portare in una conversazione con uno sconosciuto, devo ammetterlo. Eppure qualcosa di tutto questo trova un posticino nella mia testa."
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/6,<i>Small fry.</i>,<i>Piccoletta.</i>
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/8,Little Sable. Tiny little Sable.,Piccola Sable. Minuscola piccola Sable.
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/10,"A grain of sand, tossed about by gentle wind.","Un granello di sabbia, sballottato da un vento gentile."
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/12,I look up at their tittering silhouette.,Alzo lo sguardo verso la sua silhouette ridacchiante.
root/2/tower_of_steel_content/10/quest_start_regular/0/37/g-0/15,<i>Challenge accepted.</i>,<i>Sfida accettata.</i>
root/2/tower_of_steel_content/10/quest_start_alt/0/7,"Without sound nor word, I tap the stranger on the shoulder. They leap so high and so suddenly that I’m grateful they don’t just fall right off the ledge.","Senza un suono né una parola, batto un colpetto sulla spalla dello sconosciuto. Salta talmente in alto e all'improvviso che sono grata non finisca direttamente giù dal cornicione."
root/2/tower_of_steel_content/10/quest_start_alt/0/9,"Thinking on it, it may not have been the most thoughtful way to approach.","Ripensandoci, forse non era il modo più premuroso di avvicinarsi."
root/2/tower_of_steel_content/10/quest_start_alt/0/11,"<<""What--when-- who?!"">>","<<""Cosa-- quando-- chi?!"">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/13,"They compose their thoughts, but regard me with a skeptical eye.","Si ricompone, ma mi guarda con occhio scettico."
root/2/tower_of_steel_content/10/quest_start_alt/0/15,"<<""How did you get up here?"">>","<<""Come sei arrivata fin quassù?"">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/19,Climbed up. It’s easy.,Mi sono arrampicata. È facile.
root/2/tower_of_steel_content/10/quest_start_alt/0/25,Magic.,Magia.
root/2/tower_of_steel_content/10/quest_start_alt/0/31,Raw ambition.,Pura ambizione.
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/0,"They dismiss me, more concerned with their own day.","Mi liquida, più preoccupata della propria giornata."
