property,en,it
TitleScreen_AnyButton,Press Any Button To Start,Premi un tasto qualsiasi per iniziare
TitleScreen_ChangeProfile_Text,Change Profile,Cambia profilo
TitleScreen_ContinueGame_Text,Continue,Continua
TitleScreen_DeleteFile_BodyText,Would you like to delete this file?,Vuoi eliminare questo file?
TitleScreen_DeleteFile_NoText,No,No
TitleScreen_DeleteFile_YesText,Yes,Sì
TitleScreen_EmptySaveFile,Empty,Vuoto
TitleScreen_ExitGame_Text,Exit Game,Esci dal gioco
TitleScreen_LoadGame_BodyText,Would you like to load this save file?,Vuoi caricare questo salvataggio?
TitleScreen_LoadGame_NoText,No,No
TitleScreen_LoadGame_Text,Load Game,Carica partita
TitleScreen_LoadGame_YesText,Yes,Sì
TitleScreen_NewGame_Text,New Game,Nuova partita
TitleScreen_OverwriteGame_BodyText,Would you like to overwrite this file?,Vuoi sovrascrivere questo file?
TitleScreen_OverwriteGame_NoText,No,No
TitleScreen_OverwriteGame_YesText,Yes,Sì
TitleScreen_QuitGame_BodyText,Are you sure you would like to exit the application?,Sei sicuro di voler uscire dall'applicazione?
TitleScreen_QuitGame_NoText,No,No
TitleScreen_QuitGame_YesText,Yes,Sì
TitleScreen_SaveFileDisplay_Button_MasksCollectedText,Masks Collected: {0},Maschere raccolte: {0}
TitleScreen_SaveFileDisplay_Button_PlayTimeText,Play Time: {0:D2}:{1:D2}:{2:D2},Tempo di gioco: {0:D2}:{1:D2}:{2:D2}
TitleScreen_SaveFileDisplay_Text,Select File,Seleziona file
TitleScreen_Settings_Text,Settings,Impostazioni
TitleScreen_StartNewGame_BodyText,Would you like to start a new game?,Vuoi iniziare una nuova partita?
TitleScreen_StartNewGame_NoText,No,No
TitleScreen_StartNewGame_YesText,Yes,Sì
TitleScreen_Wishlist_Text,Wishlist,Lista dei desideri
SettingsScreen_Name,Settings,Impostazioni
SettingsScreen_ListButton_Audio,Sound,Audio
SettingsScreen_ListButton_Controls,Controls,Controlli
SettingsScreen_ListButton_Credits,Credits,Crediti
SettingsScreen_ListButton_Display,Display,Schermo
SettingsScreen_ListButton_Language,Language,Lingua
SettingsScreen_ListButton_Quality,Quality,Qualità
SettingsScreen_ListButton_System,System,Sistema
SettingsScreen_ControlSettings_CameraSensitivityButton_Name,Camera Sensitivity,Sensibilità telecamera
SettingsScreen_ControlSettings_ControllerMappingDisplay_Title,Gamepad Controls,Comandi gamepad
SettingsScreen_ControlSettings_ControllerRumbleButton_Name,Vibration,Vibrazione
SettingsScreen_ControlSettings_ControllerRumble_Disabled,Disabled,Disattivata
SettingsScreen_ControlSettings_ControllerRumble_Enabled,Enabled,Attivata
SettingsScreen_ControlSettings_ControllerRumble_Weak,Weak,Leggera
SettingsScreen_ControlSettings_HoldToAccelerateButton_Name,Hold to Accelerate,Tieni premuto per accelerare
SettingsScreen_ControlSettings_HoldToHoverButton_Name,Hold to Hover,Tieni premuto per planare
SettingsScreen_ControlSettings_InvertHorizontalAxisButton_Name,Invert Horizontal Axis,Inverti asse orizzontale
SettingsScreen_ControlSettings_InvertVerticalAxisButton_Name,Invert Vertical Axis,Inverti asse verticale
SettingsScreen_ControlSettings_ShowControlsButton_Name,Show Controls,Mostra comandi
SettingsScreen_ControlSettings_SwitchOptions_Off_Name,Off,No
SettingsScreen_ControlSettings_SwitchOptions_On_Name,On,Sì
SettingsScreen_DisplaySettings_AntialiasingButton_Name,Antialiasing,Antialiasing
SettingsScreen_DisplaySettings_AntialiasingButton_None,Off,Disattivato
SettingsScreen_DisplaySettings_AntialiasingButton_On,Enabled,Attivato
SettingsScreen_DisplaySettings_DrawDistanceButton_Name,Draw distance,Distanza visiva
SettingsScreen_DisplaySettings_DrawDistance_Default,Default,Predefinita
SettingsScreen_DisplaySettings_DrawDistance_Low,Low,Bassa
SettingsScreen_DisplaySettings_DrawDistance_VeryHigh,Very high,Molto alta
SettingsScreen_DisplaySettings_FieldOfViewButton_Name,Field of view,Campo visivo
SettingsScreen_DisplaySettings_FramerateButton_Name,Framerate,Framerate
SettingsScreen_DisplaySettings_Framerate_Uncapped,Uncapped,Senza limite
SettingsScreen_DisplaySettings_Framerate_VSync,VSync,VSync
SettingsScreen_DisplaySettings_Framerate_VSyncHalf,VSync/2,VSync/2
SettingsScreen_DisplaySettings_FullscreenModeButton_Name,Fullscreen On,Schermo intero
SettingsScreen_DisplaySettings_HighContrastButton_Name,Colours,Colori
SettingsScreen_DisplaySettings_HighContrast_Custom,Custom,Personalizzati
SettingsScreen_DisplaySettings_HighContrast_Disabled,Default,Predefiniti
SettingsScreen_DisplaySettings_HighContrast_Enabled,High visibility,Alta visibilità
SettingsScreen_DisplaySettings_LODButton_Name,Level of detail,Livello di dettaglio
SettingsScreen_DisplaySettings_LOD_Default,Default,Predefinito
SettingsScreen_DisplaySettings_LOD_High,High,Alto
SettingsScreen_DisplaySettings_LOD_Low,Low,Basso
SettingsScreen_DisplaySettings_LineWidthButton_Name,Line weight,Spessore linee
SettingsScreen_DisplaySettings_LineWidth_Default,Default,Predefinito
SettingsScreen_DisplaySettings_LineWidth_Thick,Thick,Spesso
SettingsScreen_DisplaySettings_LineWidth_Thin,Thin,Sottile
SettingsScreen_DisplaySettings_PhotoMode_Name,Photo Mode,Modalità foto
SettingsScreen_DisplaySettings_PhotoMode_Off,Off,Disattivata
SettingsScreen_DisplaySettings_PhotoMode_On,Enabled,Attivata
SettingsScreen_DisplaySettings_ResolutionButton_Name,Resolution,Risoluzione
SettingsScreen_DisplaySettings_ShadowQualityButton_Name,Shadows quality,Qualità ombre
SettingsScreen_DisplaySettings_ShadowQuality_Default,Default,Predefinita
SettingsScreen_DisplaySettings_ShadowQuality_Low,Low,Bassa
SettingsScreen_DisplaySettings_ShadowQuality_Medium,Medium,Media
SettingsScreen_DisplaySettings_TextScaleButton_Name,Text Scale,Dimensione testo
SettingsScreen_DisplaySettings_TextScale_Default,Default,Predefinita
SettingsScreen_DisplaySettings_TextScale_ExtraLarge,Extra Large,Molto grande
SettingsScreen_DisplaySettings_TextScale_Large,Large,Grande
SettingsScreen_EasyFishing,Easy Fishing,Pesca facilitata
SettingsScreen_ExitGame_BodyText,Would you like to exit to the title?,Vuoi tornare alla schermata iniziale?
SettingsScreen_ExitGame_NoChoiceText,No,No
SettingsScreen_ExitGame_YesChoiceText,Yes,Sì
SettingsScreen_LanguageOptions_BrasilianPortuguese,Português (Brasil),Português (Brasil)
SettingsScreen_LanguageOptions_ChineseSimplified,简体中文,简体中文
SettingsScreen_LanguageOptions_ChineseTraditional,繁體中文,繁體中文
SettingsScreen_LanguageOptions_English,English,English
SettingsScreen_LanguageOptions_French,Français,Français
SettingsScreen_LanguageOptions_German,Deutsch,Deutsch
SettingsScreen_LanguageOptions_Italian,Italiano,Italiano
SettingsScreen_LanguageOptions_Japanese,日本語,日本語
SettingsScreen_LanguageOptions_Korean,한국어,한국어
SettingsScreen_LanguageOptions_Polish,Polski,Polski
SettingsScreen_LanguageOptions_Russian,Русский,Русский
SettingsScreen_LanguageOptions_Spanish,Español,Español
SettingsScreen_LanguageSettings_LanguageButton_Name,Language,Lingua
SettingsScreen_SaveGame_BodyText,Would you like to save over the active save slot?,Vuoi sovrascrivere il salvataggio attivo?
SettingsScreen_SaveGame_NoChoiceText,No,No
