Name,Category,Rarity,Name_EN,Description_EN,ShopDescription_EN
Chum,General,Common,Chum Egg,"Offered up by Chums when planting themselves into the ground. Perfectly smooth and hard as a rock, these eggs seem to float with how light they are. There must be a good place to deliver these.",
YellowElephantBeetle,General,Common,Yellow Elephant Beetle,"Excellent at escaping would be predators, Yellow Elephant Beetles distinct fondness for Tassel Seeds is surprisingly effective at distracting them enough for capture. ",
Calibrator,Quest,Rare,Atomic Calibrator,Some sort of ancient calibration device Sizo asked me to retrieve from a ruined Atomic ship.,
PowerSupply,Quest,Rare,Atomic Power Supply,This device supplies power to whatever it's plugged into. Sizo will have to show me how it works.,
ControlPanel,Quest,Rare,Atomic Control Panel,"An internal control device, used for allowing a machine to monitor its own mechanisms and make adjustments where needed. Without one of these in a bike, you’re better off riding a goat.",
Navigator,Key,Common,The Navigator,"An ancient measuring device, used to mark positions on maps over long distances, a useful tool when mapping one's own path across unfamiliar terrain. ",
GlidingStone01,Key,Rare,Gliding Stone,I can feel a deep vibration at its core as I hold it in my hand. It is an impenetrable darkness but its surface has barely perceptible markings etched into it.,
GlidingStone02,Key,Rare,Powered Gliding Stone,"Light pulses through the dark rock, somehow it acts as a lens to focus the Perpetual energy around us. It gives off a warm energy when used. ",
AtomicHeartKeycard,Quest,Rare,Atomic Heart Keycard,"A keycard given to me by the Eccrine Guard Sandip. It allows me access to the Atomic Heart, the structure that provides power to Eccria.",
OasisFlower,Quest,Rare,Oasis Flower,A beautiful flower that grows atop a rock in the Eccrine Oasis. A gift to give someone you care about. ,
LarvalHusk,Quest,Rare,Hercules Beetle Larvae Husk,"The remaining husks of metamorphosed Hercules Beetles, often found in the center of their nests. Extremely tough, useful material for creating tough rigid clothing items or pieces of architecture.",
SlicerBeetlePoo,General,Rare,Slicer Beetle Poo,"Apparently valuable as a fuel and fertiliser, slicer beetles need some encouragement to let these go sometimes.",
OrangeWingBeetle,General,Common,Orange Winged Beetles,"A skittish, wary creature that survives cautiously in the shaded geodesic rocks of the Wash. They are quick to escape in soft sands but their short mandibles are not suited to cutting harder materials.",
BasicFishingRod,Fishing,Rare,Basic Wooden Rod,"An old wooden rod, it's just about serviceable. I won't be catching anything big with this thing.",
Glowworm,General,Common,Hakoan Glowworms,Fluorescent worms found on the ceiling of a cave behind a waterfall of sulphur in Hakoa. They drop from their stalactites if you smoke them out using dissolving rocks found in the caves.Small sandwyrms love to eat them but they aren’t known for being good for humans.,
NimoorButterflies,General,Common,Nimoor Butterflies,"They hunt around for Nimoor plants at night and when they find one, crawl inside the core to give it a glowing radiance as they consume nutrients from the plant.",
GlowingMushrooms,General,Common,Glowing Mushrooms,"Glowing mushrooms found in the glow worm caves, said to give off a certain buzz when consumed.",
StyllousNote,Quest,Rare,Mysterious Note, A note taken from the Petrified Wyrm.,
MachinistBadge,Badge,Rare,Machinist Badge,"Shaped like some sort of mechanical part, the badge feels solid and well engineered in my palm.",
LightningCrystal,Quest,Common,Lightning Crystal,"Lightning infused crystals that grow out of the sides of floating rocks in the Crystal Plateau. Extremely risky to harvest, the power inside each crystal is extremely powerful and volatile. Cracking one can be dangerous.",
GuardsBadge,Badge,Rare,Guard's Badge,"A feather from a bird of prey, given as a badge by the guard Eliisabet.",
AnAncientRaceKeyItem,Quest,Rare,Hicaric Ring Artefact,"A strange, circular ring that I retrieved from a shrine buried under the sand. I can feel a light tug towards an unknown place when I hold it lightly in my hands. Like a key that belongs somewhere.",
BeetleBadge,Badge,Rare,Beetle Badge,Shaped like a Beetle's mandibles this badge given by beetle camp owners.,
StormFish,Fishing,Common,Storm Fish,"A unique fish that rides the aggressive movement of sand that occurs during a sandstorm by expanding it's fins to an enormous span, as if it were a bird about to take flight.",
BellowGuppy,Fishing,Common,Bellow Guppy,"It pulses its way through the sands using an air propulsion system that grows at the end of its tail. When frightened, the force of the propulsion can cause the 'bellow' to drop off leaving the fish stranded.",
PillFish,Fishing,Common,Pill Fish,A small frilly fish that collect in swarms near cactus roots. They are poisonous to humans but secrete a fluid sometimes used for painkilling purposes. ,
